Location #,Type,Size,Location,Barcode,Serial Number,Pass Y/N,< 5ft Y/N,Date Inspected,Initials
WT4-04,ABC,5LBS,4th floor hall by EVS closet,281829,F72245480,,,,
WT5-01,ABC,5LBS,5th floor at stair 25 by room 5028,761797,I15987908,,,,
WT5-02,ABC,5LBS,5th floor center hall by NS,281738,F72245492,,,,
WT5-03,ABC,5LBS,5th floor center hall by EVS closet,761796,I16007466,,,,
WT5-04,ABC,5LBS,5th floor by room 5012,761114,F70314305,,,,
WT5-05,ABC,5LBS,5th floor lily pad nursery ,761144,F59541627,,,,
WT6-01,ABC,5LBS,6th floor center hall by NS,761798,I06602184,,,,
WT6-02,ABC,5LBS,6th floor by room 6012,761800,I16007463,,,,
WT6-03,ABC,5LBS,6th floor lily pad nursery,761649,G31902899,,,,
WT6-04,ABC,5LBS,6th floor center hall by elevators 4/5 lobby ,761799,I15995282,,,,
WT6-05,ABC,5LBS,6th floor at stair 25 by room 6028,761801,I15995283,,,,
WTPD-P2-01,ABC,10LBS,P2 garage right of elevators,761306,G13246827,,,,
WTPD-P2-02,ABC,10LBS,P2 garage by entrance only ramp,411718,F722454491,,,,
WTPD-P2-03,ABC,5LBS,P2 garage middle mech room,761303,G13248878,,,,
WTPD-P2-04,ABC,5LBS,P2 garage at stair 24 by storage rm ,761803,I16007464,,,,
WTPD-P2-05,ABC,10LBS,P2 garage back left wall in corner,761802,I17695188,,,,
WTPD-P1-01,ABC,5LBS,P1 garage back right wall by stair 24,761804,I17717028,,,,
WTPD-P1-03,ABC,10LBS,P1 garage back left electrical rm,761807,I07098498,,,,
WTPD-P1-04,PK,20LBS,P1 garage inside chiller room,761805,I15991569,,,,
WTPD-P1-05,ABC,10LBS,P1 garage outside elevator mach rm at elevators 4/5,761811,I17717024,,,,
WTPD-P1-06,ABC,5LBS,P1 garage inside boiler room,761593,F58421755,,,,
WTPD-P1-07,BC,5LBS,P1 garage wall left of Brookwood sign,761808,I17713230,,,,
WTPD-P1-08,ABC,10LBS,P1 right of main elevator lobby for 1/2/3,411865,F72245494,,,,
WTPD-P1-09,ABC,10LBS,P1 garage wall by stair 25,761812,I17713230,,,,
WTPD-P1-10,ABC,10LBS,P1 garage back right electrical rm by stair 24,761806,I07098501,,,,
WTPD-P1-12,ABC,10LBS,P1 garage in elevator mech rm,761810,I17713235,,,,
,ABC,10LBS,P1 garage fuel storage/mech rm,281780,F72245519,,,,
,BC,10LBS,P1 outside electrical rm,761809,i17695174,,,,
WMP-106,ABC,10LBS,1st floor hall by Impact suite 101,761786,I17717030,,,,
WMP-107,ABC,5LBS,1st floor Womens Surgery hall to WMC atrium/elevators,411541,F72245475,,,,
